11.23. netqlty 0.38, netp 0.4805, randp 0.4925, sxs 1
11.24. netqlty 0.38, netp 0.4790, randp 0.4910, sxs 0
11.25. netqlty 0.49, netp 0.4806, randp 0.4896, sxs 1
11.26. netqlty 0.38, netp 0.4821, randp 0.4881, sxs 1
11.27. netqlty 0.38, netp 0.4837, randp 0.4866, sxs 1
11.28. netqlty 0.42, netp 0.4852, randp 0.4882, sxs 1
11.29. netqlty 0.43, netp 0.4867, randp 0.4897, sxs 1
11.30. netqlty 0.38, netp 0.4853, randp 0.4882, sxs 0
11.31. netqlty 0.42, netp 0.4839, randp 0.4897, sxs 0
sxss 18, ones 18, zeros 13
12.1. netqlty 0.41, netp 0.4825, randp 0.4912, sxs 0
12.2. netqlty 0.43, netp 0.4840, randp 0.4898, sxs 1
12.3. netqlty 0.44, netp 0.4826, randp 0.4913, sxs 0
12.4. netqlty 0.43, netp 0.4812, randp 0.4899, sxs 0
12.5. netqlty 0.39, netp 0.4827, randp 0.4884, sxs 1
12.6. netqlty 0.44, netp 0.4813, randp 0.4870, sxs 0
12.7. netqlty 0.43, netp 0.4828, randp 0.4885, sxs 1
12.8. netqlty 0.41, netp 0.4842, randp 0.4871, sxs 1
12.9. netqlty 0.39, netp 0.4857, randp 0.4886, sxs 1
12.10. netqlty 0.41, netp 0.4843, randp 0.4872, sxs 0
12.11. netqlty 0.41, netp 0.4830, randp 0.4886, sxs 0
12.12. netqlty 0.46, netp 0.4816, randp 0.4901, sxs 0
12.13. netqlty 0.43, netp 0.4831, randp 0.4887, sxs 1
12.14. netqlty 0.44, netp 0.4845, randp 0.4901, sxs 1
12.15. netqlty 0.43, netp 0.4860, randp 0.4888, sxs 1
12.16. netqlty 0.43, netp 0.4874, randp 0.4874, sxs 1
12.17. netqlty 0.41, netp 0.4888, randp 0.4888, sxs 1
12.18. netqlty 0.44, netp 0.4903, randp 0.4903, sxs 1
12.19. netqlty 0.48, netp 0.4917, randp 0.4917, sxs 1
12.20. netqlty 0.48, netp 0.4903, randp 0.4903, sxs 0
12.21. netqlty 0.46, netp 0.4890, randp 0.4890, sxs 0
12.22. netqlty 0.44, netp 0.4876, randp 0.4904, sxs 0
12.23. netqlty 0.48, netp 0.4863, randp 0.4918, sxs 0
