16.14. act -1, pred -1, sxs 1, qlty 26
16.15. act -1, pred -1, sxs 1, qlty 24
16.16. act -1, pred -1, sxs 1, qlty 20
16.17. act -1, pred -1, sxs 1, qlty 20
16.18. act -1, pred -1, sxs 1, qlty 20
16.19. act -1, pred -1, sxs 1, qlty 22
16.20. act -1, pred -1, sxs 1, qlty 20
16.21. act -1, pred -1, sxs 1, qlty 22
16.22. act -1, pred -1, sxs 1, qlty 22
16.23. act -1, pred -1, sxs 1, qlty 20
16.24. act -1, pred -1, sxs 1, qlty 22
16.25. act -1, pred -1, sxs 1, qlty 20
16.26. act -1, pred -1, sxs 1, qlty 22
16.27. act -1, pred -1, sxs 1, qlty 20
16.28. act -1, pred -1, sxs 1, qlty 22
16.29. act -1, pred -1, sxs 1, qlty 20
16.30. act -1, pred -1, sxs 1, qlty 22
16.31. act -1, pred -1, sxs 1, qlty 22
17.1. act -1, pred -1, sxs 1, qlty 24
17.2. act -1, pred 1, sxs 0, qlty 22
17.3. act -1, pred 1, sxs 0, qlty 22
17.4. act -1, pred 1, sxs 0, qlty 22
17.5. act -1, pred -1, sxs 1, qlty 18
17.6. act -1, pred 1, sxs 0, qlty 18
17.7. act -1, pred -1, sxs 1, qlty 20
17.8. act -1, pred -1, sxs 1, qlty 18
17.9. act -1, pred -1, sxs 1, qlty 22
17.10. act -1, pred 1, sxs 0, qlty 22
17.11. act -1, pred -1, sxs 1, qlty 22
17.12. act -1, pred -1, sxs 1, qlty 22
17.13. act -1, pred -1, sxs 1, qlty 20
17.14. act -1, pred -1, sxs 1, qlty 26
17.15. act -1, pred -1, sxs 1, qlty 22
17.16. act -1, pred 1, sxs 0, qlty 22
17.17. act -1, pred -1, sxs 1, qlty 20
17.18. act -1, pred 1, sxs 0, qlty 20
17.19. act -1, pred -1, sxs 1, qlty 20
17.20. act -1, pred 1, sxs 0, qlty 22
17.21. act -1, pred 1, sxs 0, qlty 22
17.22. act -1, pred 1, sxs 0, qlty 24
17.23. act -1, pred 1, sxs 0, qlty 24
17.24. act -1, pred -1, sxs 1, qlty 22
17.25. act -1, pred -1, sxs 1, qlty 18
17.26. act -1, pred -1, sxs 1, qlty 24
17.27. act -1, pred -1, sxs 1, qlty 18
17.28. act -1, pred -1, sxs 1, qlty 22
17.29. act -1, pred -1, sxs 1, qlty 20
17.30. act -1, pred 1, sxs 0, qlty 24
17.31. act -1, pred -1, sxs 1, qlty 22
18.1. act 1, pred 1, sxs 1, qlty 24
18.2. act 1, pred 1, sxs 1, qlty 16
18.3. act 1, pred -1, sxs 0, qlty 22
18.4. act 1, pred -1, sxs 0, qlty 20
18.5. act 1, pred -1, sxs 0, qlty 24
18.6. act 1, pred 1, sxs 1, qlty 20
18.7. act 1, pred -1, sxs 0, qlty 22
18.8. act 1, pred -1, sxs 0, qlty 20
18.9. act 1, pred 1, sxs 1, qlty 22
18.10. act 1, pred 1, sxs 1, qlty 22
18.11. act 1, pred -1, sxs 0, qlty 22
18.12. act 1, pred -1, sxs 0, qlty 20
18.13. act 1, pred 1, sxs 1, qlty 22
18.14. act 1, pred -1, sxs 0, qlty 22
18.15. act 1, pred 1, sxs 1, qlty 20
18.16. act 1, pred -1, sxs 0, qlty 20
18.17. act 1, pred -1, sxs 0, qlty 18
18.18. act 1, pred -1, sxs 0, qlty 18
18.19. act 1, pred -1, sxs 0, qlty 22
18.20. act 1, pred -1, sxs 0, qlty 24
18.21. act 1, pred -1, sxs 0, qlty 22
18.22. act 1, pred -1, sxs 0, qlty 20
18.23. act 1, pred -1, sxs 0, qlty 20
18.24. act 1, pred 1, sxs 1, qlty 18
18.25. act 1, pred 1, sxs 1, qlty 18
18.26. act 1, pred -1, sxs 0, qlty 26
18.27. act 1, pred -1, sxs 0, qlty 22
18.28. act 1, pred -1, sxs 0, qlty 20
18.29. act 1, pred -1, sxs 0, qlty 22
18.30. act 1, pred 1, sxs 1, qlty 24
18.31. act 1, pred -1, sxs 0, qlty 20
19.1. act 1, pred 1, sxs 1, qlty 20
