15.11. act 1, pred -1, sxs 0, qlty 64
15.12. act 1, pred -1, sxs 0, qlty 68
15.13. act 1, pred -1, sxs 0, qlty 68
15.14. act 1, pred -1, sxs 0, qlty 72
15.15. act 1, pred -1, sxs 0, qlty 70
15.16. act 1, pred -1, sxs 0, qlty 68
15.17. act 1, pred -1, sxs 0, qlty 70
15.18. act 1, pred 1, sxs 1, qlty 66
15.19. act 1, pred 1, sxs 1, qlty 70
15.20. act 1, pred 1, sxs 1, qlty 70
15.21. act 1, pred -1, sxs 0, qlty 66
15.22. act 1, pred -1, sxs 0, qlty 72
15.23. act 1, pred -1, sxs 0, qlty 62
15.24. act 1, pred -1, sxs 0, qlty 70
15.25. act 1, pred -1, sxs 0, qlty 72
15.26. act 1, pred -1, sxs 0, qlty 70
15.27. act 1, pred -1, sxs 0, qlty 68
15.28. act 1, pred -1, sxs 0, qlty 70
15.29. act 1, pred 1, sxs 1, qlty 70
15.30. act 1, pred 1, sxs 1, qlty 68
15.31. act 1, pred 1, sxs 1, qlty 68
16.1. act -1, pred -1, sxs 1, qlty 62
16.2. act -1, pred -1, sxs 1, qlty 72
16.3. act -1, pred -1, sxs 1, qlty 70
16.4. act -1, pred -1, sxs 1, qlty 66
16.5. act -1, pred 1, sxs 0, qlty 68
16.6. act -1, pred -1, sxs 1, qlty 70
16.7. act -1, pred -1, sxs 1, qlty 74
16.8. act -1, pred -1, sxs 1, qlty 68
16.9. act -1, pred -1, sxs 1, qlty 70
16.10. act -1, pred -1, sxs 1, qlty 68
16.11. act -1, pred -1, sxs 1, qlty 66
16.12. act -1, pred -1, sxs 1, qlty 70
16.13. act -1, pred -1, sxs 1, qlty 70
16.14. act -1, pred -1, sxs 1, qlty 70
16.15. act -1, pred -1, sxs 1, qlty 66
16.16. act -1, pred -1, sxs 1, qlty 68
16.17. act -1, pred -1, sxs 1, qlty 70
16.18. act -1, pred -1, sxs 1, qlty 60
16.19. act -1, pred 1, sxs 0, qlty 72
16.20. act -1, pred -1, sxs 1, qlty 66
16.21. act -1, pred 1, sxs 0, qlty 72
16.22. act -1, pred -1, sxs 1, qlty 64
16.23. act -1, pred -1, sxs 1, qlty 72
16.24. act -1, pred -1, sxs 1, qlty 70
16.25. act -1, pred 1, sxs 0, qlty 74
16.26. act -1, pred -1, sxs 1, qlty 72
16.27. act -1, pred -1, sxs 1, qlty 70
16.28. act -1, pred -1, sxs 1, qlty 72
16.29. act -1, pred -1, sxs 1, qlty 66
16.30. act -1, pred -1, sxs 1, qlty 70
16.31. act -1, pred -1, sxs 1, qlty 70
17.1. act -1, pred -1, sxs 1, qlty 64
17.2. act -1, pred -1, sxs 1, qlty 66
17.3. act -1, pred -1, sxs 1, qlty 62
17.4. act -1, pred -1, sxs 1, qlty 66
17.5. act -1, pred -1, sxs 1, qlty 64
17.6. act -1, pred -1, sxs 1, qlty 60
17.7. act -1, pred -1, sxs 1, qlty 68
17.8. act -1, pred -1, sxs 1, qlty 66
17.9. act -1, pred -1, sxs 1, qlty 74
17.10. act -1, pred -1, sxs 1, qlty 62
